,bearing,carriages,current_status,current_stop_sequence,direction_id,label,latitude,longitude,occupancy_status,revenue,speed,updated_at
y2026,109.0,[],STOPPED_AT,20.0,1.0,2026,42.3959853,-71.04120705,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1402,270.0,[],STOPPED_AT,1.0,1.0,1402,42.42276,-71.09063,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:02-04:00
1647,,[],STOPPED_AT,0.0,1.0,1647,42.79704666137695,-70.87770080566406,,REVENUE,2.2,2024-05-23T14:25:11-04:00
y1438,0.0,[],STOPPED_AT,1.0,1.0,1438,42.41855995,-71.11071972,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
y3326,170.0,[],STOPPED_AT,1.0,1.0,3326,42.42589591,-71.01071492,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1333,120.0,[],IN_TRANSIT_TO,5.0,0.0,1333,42.365444709,-71.02188533,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
R-547C72C8,330.0,"[{'label': '1801', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1800', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1812', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1813', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1879', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '1878', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,50.0,1.0,1801,42.28458,-71.06377,,REVENUE,,2024-05-23T14:20:18-04:00
G-10211,305.0,"[{'label': '3608', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3892', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",IN_TRANSIT_TO,670.0,1.0,3608-3892,42.37319,-71.07962,,REVENUE,6.9,2024-05-23T14:25:35-04:00
1703,,[],STOPPED_AT,0.0,0.0,1703,42.366722106933594,-71.06238555908203,,REVENUE,,2024-05-23T14:25:07-04:00
O-547C729C,185.0,"[{'label': '1496', 'occupancy_percentage': 11, 'occupancy_status': 'FEW_SEATS_AVAILABLE'}, {'label': '1497', 'occupancy_percentage': 4, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1472', 'occupancy_percentage': 7, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1473', 'occupancy_percentage': 0, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1409', 'occupancy_percentage': 7, 'occupancy_status': 'MANY_SEATS_AVAILABLE'}, {'label': '1408', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,1.0,0.0,1496,42.43772,-71.0708,,REVENUE,,2024-05-23T14:15:56-04:00
y1775,0.0,[],STOPPED_AT,1.0,0.0,1775,42.35388922,-71.05973096,,REVENUE,,2024-05-23T14:24:28-04:00
y1908,225.0,[],STOPPED_AT,1.0,0.0,1908,42.35418,-71.05844,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:31-04:00
y1607,30.0,[],STOPPED_AT,26.0,0.0,1607,42.25799991,-71.148007899,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y2054,317.0,[],STOPPED_AT,1.0,1.0,2054,42.39505341,-71.08732057,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
G-10244,175.0,"[{'label': '3876', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3640', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,30.0,0.0,3876-3640,42.36238,-71.05804,,REVENUE,,2024-05-23T14:24:47-04:00
y3138,193.0,[],STOPPED_AT,6.0,1.0,3138,42.40638486,-71.02955649,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
G-10077,45.0,"[{'label': '3800', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3695', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",STOPPED_AT,500.0,1.0,3800-3695,42.33613,-71.09959,,REVENUE,3.2,2024-05-23T14:25:19-04:00
y3205,0.0,[],STOPPED_AT,5.0,0.0,3205,42.34366198,-71.10229476,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:32-04:00
y1424,197.0,[],STOPPED_AT,32.0,1.0,1424,42.37701427,-71.03923869,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:33-04:00
y1268,190.0,[],STOPPED_AT,23.0,0.0,1268,42.2915144,-71.0891695,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1276,189.0,[],IN_TRANSIT_TO,4.0,0.0,1276,42.346570019,-71.06468789,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
y1744,328.0,[],STOPPED_AT,1.0,1.0,1744,42.3575165,-71.12015861,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1251,237.0,[],STOPPED_AT,1.0,0.0,1251,42.34978346,-71.074521649,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y1907,0.0,[],STOPPED_AT,6.0,0.0,1907,42.32968741,-71.08430454,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1690,90.0,[],IN_TRANSIT_TO,26.0,1.0,1690,42.28732,-71.15038,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:25-04:00
y0794,284.0,[],STOPPED_AT,1.0,1.0,0794,42.27766521,-71.02377857,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y0792,153.0,[],STOPPED_AT,30.0,0.0,0792,42.25535295,-71.00656203,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y1993,340.0,[],STOPPED_AT,1.0,0.0,1993,42.36546867,-71.06426125,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1267,300.0,[],STOPPED_AT,1.0,0.0,1267,42.33254996,-71.08026126,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y1876,88.0,[],STOPPED_AT,18.0,0.0,1876,42.33136272,-71.04654007,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:38-04:00
y3358,208.0,[],STOPPED_AT,61.0,1.0,3358,42.43656796,-70.971122059,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:34-04:00
